mbs            pps            sysload        sysload_dev    missed_perc    missed_perc_dev
984.0          82024.0        4.3            0.00           8.5            0.00           
853.4          71172.0        4.2            0.00           0.0            0.00           
795.2          66335.0        4.1            0.00           0.0            0.00           
743.8          62005.2        4.0            0.00           0.0            0.00           
701.8          58540.6        3.9            0.00           0.0            0.00           
661.8          55191.8        3.8            0.00           0.0            0.00           
629.2          52454.6        3.8            0.00           0.0            0.00           
598.2          49885.2        3.7            0.00           0.0            0.00           
541.2          45154.2        3.6            0.00           0.0            0.00           
0              0                                                                          
