mbs            pps            sysload        sysload_dev    missed_perc    missed_perc_dev
925.0          385816.4       78.8           0.32           0.0            0.00           
737.2          307282.4       64.4           0.45           0.0            0.00           
594.2          247755.8       59.5           0.77           0.0            0.00           
574.2          239407.0       51.4           0.00           0.0            0.00           
464.4          193715.6       40.5           0.00           0.0            0.00           
398.0          166090.6       34.8           0.00           0.0            0.00           
299.0          124695.8       26.7           0.00           0.0            0.00           
265.2          110817.4       24.0           0.00           0.0            0.00           
159.0          66606.8        15.3           0.00           0.0            0.00           
0              0                                                                          
