mbs            pps            sysload        sysload_dev    missed_perc    missed_perc_dev
925.0          385816.2       6.5            0.00           0.0            0.00           
737.6          307450.6       6.1            0.00           0.0            0.00           
594.0          247719.0       5.8            0.00           0.0            0.00           
573.6          239237.2       5.8            0.00           0.0            0.00           
463.8          193452.4       5.5            0.00           0.0            0.00           
398.2          166105.2       5.4            0.00           0.0            0.00           
299.0          124684.2       5.3            0.00           0.0            0.00           
265.2          110821.8       5.2            0.00           0.0            0.00           
159.0          66610.8        4.9            0.00           0.0            0.00           
0              0                                                                          
