mbs            pps            sysload        sysload_dev    missed_perc    missed_perc_dev
892.0          558055.2       7.0            0.00           0.0            0.00           
767.2          479821.6       6.9            0.00           0.0            0.00           
706.6          442004.0       6.6            0.00           0.0            0.00           
518.0          324099.6       6.1            0.00           0.0            0.00           
396.0          247811.6       5.8            0.00           0.0            0.00           
318.0          199179.2       5.5            0.00           0.0            0.00           
265.0          166079.0       5.4            0.00           0.0            0.00           
199.0          124695.2       5.2            0.00           0.0            0.00           
159.0          99902.2        5.2            0.00           0.0            0.00           
0              0                                                                          
