mbs            pps            sysload        sysload_dev    missed_perc    missed_perc_dev
710.8          1482040.0      12.6           0.32           51.4           0.32           
510.2          1064012.8      12.4           0.32           32.3           0.00           
481.4          1003878.2      12.6           0.32           28.2           0.77           
424.8          886275.0       12.4           0.00           18.7           0.45           
384.8          802830.6       12.2           0.00           10.2           0.45           
223.0          465541.8       8.7            0.00           0.0            0.00           
152.2          317649.6       6.6            0.00           0.0            0.00           
114.6          239431.8       5.7            0.00           0.0            0.00           
94.0           196280.6       5.1            0.00           0.0            0.00           
0              0                                                                          
